sample_id,repository,bug_id,commit,id,file,function,loc,complexity,max_nesting,num_args,num_returns,num_calls,file_imports,caller_count,callee_count,dependency_count,degree,betweenness,pagerank,label
black_12_8b340e210271_tests/test_black.py_test_filter_cached_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/test_black.py:test_filter_cached,tests/test_black.py,test_filter_cached,15,2,1,1,0,12,17,0,2,0,3,0.0,0.0010305263673464871,0
black_12_8b340e210271_tests/data/class_blank_parentheses.py_test_func_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/data/class_blank_parentheses.py:test_func,tests/data/class_blank_parentheses.py,test_func,2,1,0,1,1,0,0,0,0,0,1,0.0,0.0011074892592831756,0
black_12_8b340e210271_tests/test_black.py_isolation_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/test_black.py:isolation,tests/test_black.py,isolation,8,3,2,3,0,3,17,0,0,0,1,0.0,0.0010305263673464871,0
black_12_8b340e210271_blib2to3/pgen2/grammar.py_copy_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,blib2to3/pgen2/grammar.py:copy,blib2to3/pgen2/grammar.py,copy,12,2,1,1,1,4,2,1,0,0,2,0.0,0.0017080924172783332,0
black_12_8b340e210271_black.py_re_compile_maybe_verbose_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:re_compile_maybe_verbose,black.py,re_compile_maybe_verbose,8,2,1,1,1,1,32,1,0,0,2,0.0,0.0011363607508063983,0
black_12_8b340e210271_blib2to3/pgen2/pgen.py_make_first_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,blib2to3/pgen2/pgen.py:make_first,blib2to3/pgen2/pgen.py,make_first,8,2,1,3,1,2,0,1,1,0,3,0.0,0.0015613207050066357,0
black_12_8b340e210271_tests/test_black.py_test_cantfit_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/test_black.py:test_cantfit,tests/test_black.py,test_cantfit,6,1,0,1,0,5,17,0,4,0,5,0.0,0.0010305263673464871,0
black_12_8b340e210271_blib2to3/pytree.py_depth_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,blib2to3/pytree.py:depth,blib2to3/pytree.py,depth,4,2,1,1,2,1,4,0,0,0,1,0.0,0.001040460155702881,0
black_12_8b340e210271_tests/data/empty_lines.py_f_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/data/empty_lines.py:f,tests/data/empty_lines.py,f,46,9,4,0,4,1,0,0,1,0,2,0.0,0.0014575122746664714,0
black_12_8b340e210271_tests/data/fmtonoff.py_on_and_off_broken_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,tests/data/fmtonoff.py:on_and_off_broken,tests/data/fmtonoff.py,on_and_off_broken,8,1,0,0,0,2,12,0,1,0,2,0.0,0.001078320674667901,0
black_12_8b340e210271_black.py_main_0,black,12,8b340e210271a8108995fd479c55dbc0a34466bd,black.py:main,black.py,main,84,15,3,14,0,35,32,0,8,0,9,0.0,0.0010262987556291783,0
black_13_b719d85ccc33_blib2to3/pgen2/tokenize.py_generate_tokens_1,black,13,b719d85ccc330170e40b2617307a7e3b2a0bab14,blib2to3/pgen2/tokenize.py:generate_tokens,blib2to3/pgen2/tokenize.py,generate_tokens,226,54,12,1,0,20,4,4,2,0,7,0.0026016046513537704,0.008216273337616823,1
black_13_b719d85ccc33_tests/data/class_methods_new_line.py___init___0,black,13,b719d85ccc330170e40b2617307a7e3b2a0bab14,tests/data/class_methods_new_line.py:__init__,tests/data/class_methods_new_line.py,__init__,2,1,0,1,0,0,0,2,0,0,3,0.0,0.0012930467961781514,0
black_13_b719d85ccc33_tests/data/composition.py_easy_asserts_0,black,13,b719d85ccc330170e40b2617307a7e3b2a0bab14,tests/data/composition.py:easy_asserts,tests/data/composition.py,easy_asserts,36,1,0,1,0,0,0,0,0,0,1,0.0,0.0012028297453921576,0
black_13_b719d85ccc33_black.py_normalize_numeric_literal_0,black,13,b719d85ccc330170e40b2617307a7e3b2a0bab14,black.py:normalize_numeric_literal,black.py,normalize_numeric_literal,28,6,4,2,0,10,32,1,2,0,4,0.000243900436064416,0.0012315520846668821,0
tqdm_1_8cc777fe8401_tqdm/contrib/__init__.py_tenumerate_1,tqdm,1,8cc777fe8401a05d07f2c97e65d15e4460feab88,tqdm/contrib/__init__.py:tenumerate,tqdm/contrib/__init__.py,tenumerate,18,4,2,5,2,6,7,2,0,0,3,0.0,0.0030821566273801088,1
tqdm_1_8cc777fe8401_tqdm/std.py_get_lock_0,tqdm,1,8cc777fe8401a05d07f2c97e65d15e4460feab88,tqdm/std.py:get_lock,tqdm/std.py,get_lock,5,2,1,1,1,2,21,4,0,0,5,0.0,0.006565250788125649,0
tqdm_1_8cc777fe8401_tqdm/cli.py_cast_0,tqdm,1,8cc777fe8401a05d07f2c97e65d15e4460feab88,tqdm/cli.py:cast,tqdm/cli.py,cast,26,11,3,2,5,11,8,1,0,0,2,0.0,0.002384345036530889,0
tqdm_1_8cc777fe8401_tqdm/contrib/__init__.py_tmap_0,tqdm,1,8cc777fe8401a05d07f2c97e65d15e4460feab88,tqdm/contrib/__init__.py:tmap,tqdm/contrib/__init__.py,tmap,2,1,0,2,1,2,7,1,1,0,3,0.0,0.002360686966430283,0
tqdm_2_bef86db56654_tqdm/utils.py_disp_trim_1,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/utils.py:disp_trim,tqdm/utils.py,disp_trim,12,4,1,2,3,4,18,1,1,0,3,0.0,0.0036718486827889184,1
tqdm_2_bef86db56654_tqdm/std.py_format_meter_1,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/std.py:format_meter,tqdm/std.py,format_meter,201,39,3,13,6,37,21,5,8,0,14,0.012591086923261864,0.02083073210263363,1
tqdm_2_bef86db56654_tqdm/std.py___hash___0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/std.py:__hash__,tqdm/std.py,__hash__,2,1,0,1,1,1,21,0,0,0,1,0.0,0.0017022174224663102,0
tqdm_2_bef86db56654_tqdm/std.py___enter___0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/std.py:__enter__,tqdm/std.py,__enter__,2,1,0,1,1,0,21,0,1,0,2,0.0,0.0017022174224663102,0
tqdm_2_bef86db56654_tqdm/std.py___exit___0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/std.py:__exit__,tqdm/std.py,__exit__,2,1,0,2,0,1,21,0,4,0,5,0.0,0.0017022174224663102,0
tqdm_2_bef86db56654_tqdm/tests/tests_tqdm.py_test_bar_formatspec_0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/tests/tests_tqdm.py:test_bar_formatspec,tqdm/tests/tests_tqdm.py,test_bar_formatspec,7,1,0,0,0,10,28,0,0,0,1,0.0,0.0016918230209571786,0
tqdm_2_bef86db56654_tqdm/notebook.py_close_0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/notebook.py:close,tqdm/notebook.py,close,13,4,3,3,0,6,17,19,2,0,22,0.0,0.011642073442885821,0
tqdm_2_bef86db56654_tqdm/tests/tests_tqdm.py___init___0,tqdm,2,bef86db56654d271838b145ad77f7040a73a7b4d,tqdm/tests/tests_tqdm.py:__init__,tqdm/tests/tests_tqdm.py,__init__,5,1,0,3,0,2,28,5,6,0,12,0.0,0.003595299309052143,0
tqdm_4_03b347646492_tqdm/_tqdm.py_format_meter_1,tqdm,4,03b347646492131d889871939b40457d29147216,tqdm/_tqdm.py:format_meter,tqdm/_tqdm.py,format_meter,199,32,3,13,4,31,20,6,2,0,9,0.0023663440488535547,0.016846460756735782,1
tqdm_4_03b347646492_tqdm/tests/tests_tqdm.py_test_position_0,tqdm,4,03b347646492131d889871939b40457d29147216,tqdm/tests/tests_tqdm.py:test_position,tqdm/tests/tests_tqdm.py,test_position,109,7,3,0,0,48,24,0,11,0,12,0.0,0.001960634845820407,0
tqdm_4_03b347646492_tqdm/tests/tests_synchronisation.py_test_monitoring_multi_0,tqdm,4,03b347646492131d889871939b40457d29147216,tqdm/tests/tests_synchronisation.py:test_monitoring_multi,tqdm/tests/tests_synchronisation.py,test_monitoring_multi,45,5,4,0,0,18,7,0,10,0,11,0.0,0.002089359774439324,0
tqdm_4_03b347646492_tqdm/_monitor.py_report_0,tqdm,4,03b347646492131d889871939b40457d29147216,tqdm/_monitor.py:report,tqdm/_monitor.py,report,2,1,0,1,1,1,4,3,0,0,4,0.0,0.009286129323290588,0
tqdm_5_19b08ab34fdb_tqdm/_tqdm.py___init___1,tqdm,5,19b08ab34fdbfa0275bc5cb2430436c724c7e759,tqdm/_tqdm.py:__init__,tqdm/_tqdm.py,__init__,226,28,3,23,1,27,17,4,17,0,22,0.0013829123158998677,0.003785927870391218,1
tqdm_5_19b08ab34fdb_tqdm/tests/tests_tqdm.py_test_file_output_0,tqdm,5,19b08ab34fdbfa0275bc5cb2430436c724c7e759,tqdm/tests/tests_tqdm.py:test_file_output,tqdm/tests/tests_tqdm.py,test_file_output,7,4,3,0,0,6,21,0,4,0,5,2.3908318514127643e-06,0.0021269135741688655,0
tqdm_5_19b08ab34fdb_tqdm/tests/tests_perf.py_get_relative_time_0,tqdm,5,19b08ab34fdbfa0275bc5cb2430436c724c7e759,tqdm/tests/tests_perf.py:get_relative_time,tqdm/tests/tests_perf.py,get_relative_time,2,1,0,1,1,1,10,0,0,0,1,0.0,0.002219425576342481,0
tqdm_5_19b08ab34fdb_examples/redirect_print.py___init___0,tqdm,5,19b08ab34fdbfa0275bc5cb2430436c724c7e759,examples/redirect_print.py:__init__,examples/redirect_print.py,__init__,2,1,0,2,0,0,5,5,0,0,6,0.0,0.0041880214370481885,0
ansible_1_25c5388fdec9_lib/ansible/galaxy/collection.py_verify_collections_1,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,lib/ansible/galaxy/collection.py:verify_collections,lib/ansible/galaxy/collection.py,verify_collections,48,14,6,6,0,22,33,9,16,0,26,0.0,0.0005173197178685232,1
ansible_1_25c5388fdec9_lib/ansible/module_utils/facts/network/linux.py_populate_0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,lib/ansible/module_utils/facts/network/linux.py:populate,lib/ansible/module_utils/facts/network/linux.py,populate,16,3,1,2,2,4,8,9,19,0,29,0.0005457455290479803,7.594808405069918e-05,0
ansible_1_25c5388fdec9_lib/ansible/config/manager.py_resolve_path_0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,lib/ansible/config/manager.py:resolve_path,lib/ansible/config/manager.py,resolve_path,6,2,1,2,1,3,24,3,1,0,5,0.0,0.0001203839669804171,0
ansible_1_25c5388fdec9_test/lib/ansible_test/_internal/provider/__init__.py___init___0,ansible,1,25c5388fdec9e56517a93feb5e8d485680946c25,test/lib/ansible_test/_internal/provider/__init__.py:__init__,test/lib/ansible_test/_internal/provider/__init__.py,__init__,5,1,0,3,0,2,4,201,323,0,525,0.0,9.560864652062562e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/system/pamd.py_remove_1,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/system/pamd.py:remove,lib/ansible/modules/system/pamd.py,remove,16,4,3,4,1,1,6,435,2,0,438,1.0725674829877136e-06,2.555684262295246e-05,1
ansible_10_e368f788f71c_lib/ansible/modules/system/pamd.py___init___1,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/system/pamd.py:__init__,lib/ansible/modules/system/pamd.py,__init__,14,5,4,2,0,10,6,859,1907,0,2767,1.2086268821239919e-05,1.171000088196172e-05,1
ansible_10_e368f788f71c_lib/ansible/modules/network/f5/bigip_device_group.py_auto_sync_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/network/f5/bigip_device_group.py:auto_sync,lib/ansible/modules/network/f5/bigip_device_group.py,auto_sync,6,3,2,1,3,0,11,0,0,0,1,0.0,5.828808932328419e-06,0
ansible_10_e368f788f71c_lib/ansible/modules/network/cloudengine/ce_vrf_interface.py_check_params_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/network/cloudengine/ce_vrf_interface.py:check_params,lib/ansible/modules/network/cloudengine/ce_vrf_interface.py,check_params,31,9,2,1,0,10,3,71,126,0,198,1.3011517801429158e-05,1.0194025699720112e-05,0
ansible_10_e368f788f71c_lib/ansible/modules/cloud/opennebula/one_image.py_wait_for_ready_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/cloud/opennebula/one_image.py:wait_for_ready,lib/ansible/modules/cloud/opennebula/one_image.py,wait_for_ready,2,1,0,3,1,2,6,2,4,0,7,0.0,6.57285520740579e-06,0
ansible_10_e368f788f71c_test/units/modules/network/iosxr/test_iosxr_system.py_test_iosxr_system_domain_name_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,test/units/modules/network/iosxr/test_iosxr_system.py:test_iosxr_system_domain_name,test/units/modules/network/iosxr/test_iosxr_system.py,test_iosxr_system_domain_name,4,1,0,1,0,3,5,0,194,0,195,0.0,6.511263585223954e-06,0
ansible_10_e368f788f71c_lib/ansible/modules/cloud/google/gcp_compute_reservation.py_wait_for_completion_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,lib/ansible/modules/cloud/google/gcp_compute_reservation.py:wait_for_completion,lib/ansible/modules/cloud/google/gcp_compute_reservation.py,wait_for_completion,9,2,1,3,1,6,4,56,192,0,249,1.1299473732631231e-05,8.608963936960982e-06,0
ansible_10_e368f788f71c_test/units/modules/network/f5/test_bigip_monitor_udp.py_test_update_port_0,ansible,10,e368f788f71c338cd3f049d5d6bdc643a51c0514,test/units/modules/network/f5/test_bigip_monitor_udp.py:test_update_port,test/units/modules/network/f5/test_bigip_monitor_udp.py,test_update_port,28,1,0,2,0,11,20,0,607,0,608,0.0,6.0744926073708115e-06,0
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_params_to_obj_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_params_to_obj,lib/ansible/modules/network/ios/ios_banner.py,map_params_to_obj,10,2,1,1,1,2,5,97,0,0,98,0.0,1.0987581838110107e-05,1
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_obj_to_commands_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_obj_to_commands,lib/ansible/modules/network/ios/ios_banner.py,map_obj_to_commands,17,4,3,2,1,6,5,73,171,0,245,0.0,1.0421262128129689e-05,1
ansible_11_da07b98b7a43_lib/ansible/modules/network/ios/ios_banner.py_map_config_to_obj_1,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/ios/ios_banner.py:map_config_to_obj,lib/ansible/modules/network/ios/ios_banner.py,map_config_to_obj,17,4,2,1,1,5,5,82,33,0,116,2.042320061828068e-07,1.0790767166852058e-05,1
ansible_11_da07b98b7a43_test/units/modules/network/netvisor/test_pn_ipv6security_raguard_port.py_run_cli_patch_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,test/units/modules/network/netvisor/test_pn_ipv6security_raguard_port.py:run_cli_patch,test/units/modules/network/netvisor/test_pn_ipv6security_raguard_port.py,run_cli_patch,12,3,2,4,0,3,5,0,85,0,86,0.0,7.3191246940197206e-06,0
ansible_11_da07b98b7a43_lib/ansible/module_utils/network/iosxr/facts/lldp_global/lldp_global.py_render_config_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/module_utils/network/iosxr/facts/lldp_global/lldp_global.py:render_config,lib/ansible/module_utils/network/iosxr/facts/lldp_global/lldp_global.py,render_config,25,8,4,3,1,6,4,54,16,0,71,4.899837013601563e-07,1.0424282306293377e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/google/gcp_bigquery_dataset.py_response_to_hash_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/google/gcp_bigquery_dataset.py:response_to_hash,lib/ansible/modules/cloud/google/gcp_bigquery_dataset.py,response_to_hash,17,1,0,2,1,20,3,102,181,0,284,2.0814525427952203e-05,1.340925107311443e-05,0
ansible_11_da07b98b7a43_lib/ansible/plugins/filter/ipaddr.py_network_in_usable_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/plugins/filter/ipaddr.py:network_in_usable,lib/ansible/plugins/filter/ipaddr.py,network_in_usable,23,2,1,2,2,16,6,1,4,0,6,0.0,1.8767265089569255e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/network/onyx/onyx_ptp_global.py__show_ptp_config_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/onyx/onyx_ptp_global.py:_show_ptp_config,lib/ansible/modules/network/onyx/onyx_ptp_global.py,_show_ptp_config,3,1,0,1,1,1,4,1,1,0,3,0.0,8.362901170638023e-06,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/amazon/ec2_group.py_group_exists_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/amazon/ec2_group.py:group_exists,lib/ansible/modules/cloud/amazon/ec2_group.py,group_exists,27,8,2,5,2,13,17,10,398,0,409,1.2069072222976478e-05,7.15381673119751e-06,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/amazon/ec2_customer_gateway.py_ensure_cgw_present_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/amazon/ec2_customer_gateway.py:ensure_cgw_present,lib/ansible/modules/cloud/amazon/ec2_customer_gateway.py,ensure_cgw_present,10,2,1,3,1,1,5,1,0,0,2,0.0,7.341878298873337e-06,0
ansible_11_da07b98b7a43_lib/ansible/modules/cloud/google/gcp_compute_global_address_info.py_fetch_list_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/cloud/google/gcp_compute_global_address_info.py:fetch_list,lib/ansible/modules/cloud/google/gcp_compute_global_address_info.py,fetch_list,3,1,0,3,1,2,3,74,24,0,99,0.0,1.109706741006994e-05,0
ansible_11_da07b98b7a43_lib/ansible/modules/network/cloudengine/ce_stp.py_cli_get_interface_stp_config_0,ansible,11,da07b98b7a433493728ddb7ac7efbd20b8988776,lib/ansible/modules/network/cloudengine/ce_stp.py:cli_get_interface_stp_config,lib/ansible/modules/network/cloudengine/ce_stp.py,cli_get_interface_stp_config,18,4,2,1,0,6,3,2,208,0,211,0.0,6.623999974799567e-06,0
ansible_12_05e2e1806162_lib/ansible/plugins/lookup/env.py_run_1,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/plugins/lookup/env.py:run,lib/ansible/plugins/lookup/env.py,run,8,2,1,4,1,3,3,501,3,0,505,5.678490938313217e-09,3.197175524604948e-05,1
ansible_12_05e2e1806162_lib/ansible/modules/network/f5/bigip_asm_dos_application.py_scrubbing_enable_0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/modules/network/f5/bigip_asm_dos_application.py:scrubbing_enable,lib/ansible/modules/network/f5/bigip_asm_dos_application.py,scrubbing_enable,7,3,1,1,3,1,26,0,1,0,2,0.0,5.663642927896983e-06,0
ansible_12_05e2e1806162_lib/ansible/module_utils/redhat.py_update_plugin_conf_0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/module_utils/redhat.py:update_plugin_conf,lib/ansible/module_utils/redhat.py,update_plugin_conf,18,3,2,3,0,11,6,5,70,0,76,6.2112611628076015e-06,1.195039620892152e-05,0
ansible_12_05e2e1806162_lib/ansible/plugins/netconf/__init__.py_dispatch_0,ansible,12,05e2e1806162393d76542a75c2520c7d61c2d855,lib/ansible/plugins/netconf/__init__.py:dispatch,lib/ansible/plugins/netconf/__init__.py,dispatch,26,4,2,4,1,5,11,3,1,0,5,0.0,1.2725823264353156e-05,0
